band,inception,musician
Fightstar,2003,Charlie Simpson
Tarot,1985,Zachary Hietala
Strapping Young Lad,1994,Devin Townsend
Motion City Soundtrack,1997,Joshua Cain
Pearls Before Swine,1965,Tom Rapp
Entwine,1995,Aksu Hanttu
Technotronic,1988,Jo Bogaert
Terror 2000,1999,Björn Strid
Entwine,1995,Tom Mikkola
Warmen,2000,Lauri Porra
Entwine,1995,Mika Tauriainen
Thee Michelle Gun Elephant,1991,Yusuke Chiba
One Man Army,1996,Jack Dalrymple
Kingston Wall,1987,Petri Walli
M2M,1999,Marion Raven
Hindu Love Gods,1984,Warren Zevon
Hindu Love Gods,1984,Bill Berry
The The,1979,Matt Johnson
Engine Down,1996,Keeley Davis
Eric Clapton and the Powerhouse,1966,Eric Clapton
Hindu Love Gods,1984,Peter Buck
Refused,1991,Dennis Lyxzén
Hindu Love Gods,1984,Mike Mills
Eppu Normaali,1976,Aku Syrjä
Eppu Normaali,1976,Sami Ruusukallio
The Blues Brothers,1978,Dan Aykroyd
Nazz,1967,Todd Rundgren
Teriyaki Boyz,2005,Keisuke Ogihara
M2M,1999,Marit Larsen
The Shirelles,1958,Shirley Owens
The Blues Brothers,1978,John Belushi
Hellogoodbye,2001,Forrest Kline
Luca Turilli's Rhapsody,2011,Alex Holzwarth
Luca Turilli's Rhapsody,2011,Luca Turilli
Eppu Normaali,1976,Mikko Saarela
The Fureys,1974,Finbar Furey
Eppu Normaali,1976,Juha Torvinen
Engel,2005,Niclas Engelin
The Funk Brothers,1959,Marvin Gaye
Wilson Phillips,1989,Chynna Phillips
Spacemen 3,1982,Peter Kember
Garnet Crow,1999,Nana Azuki
Imperial Vengeance,2007,Charles Hedger
Delphic,2009,Rick Boardman
Garnet Crow,1999,Hitoshi Okamoto
Garnet Crow,1999,Yuri Nakamura
Powderfinger,1989,Bernard Fanning
Tegomass,2006,Yuya Tegoshi
Denim,1992,Lawrence Hayward
Garnet Crow,1999,Hirohito Furui
The Network,2003,Billie Joe Armstrong
Denim,1997,Lawrence Hayward
The Delmore Brothers,1926,Rabon Delmore
Demon,1979,Mal Spooner
v-u-den,2004,Erika Miyoshi
v-u-den,2004,Junjun
v-u-den,2004,Yui Okada
v-u-den,2004,Rika Ishikawa
Dreams Come True,1988,Masato Nakamura
Dreams Come True,1988,Miwa Yoshida
v-u-den,2004,Risako Sugaya
Melon Kinenbi,2000,Hitomi Saito
The Jeff Beck Group,1966,Jeff Beck
Eskobar,1995,Daniel Bellqvist
Demon Hunter,2000,Ryan Clark
Delirious?,1992,Martin Smith
Eskobar,1995,Frederik Zäll
v-u-den,2004,Sayumi Michishige
Institute,2004,Gavin Rossdale
The Tears,2004,Brett Anderson
The Delmore Brothers,1926,Alton Delmore
Sugarland,2003,Kristen Hall
Pizzicato Five,1985,Yasuharu Konishi
Pizzicato Five,1985,Keitarō Takanami
Trust Company,1997,Kevin Palmer
Destroy Rebuild Until God Shows,2010,Craig Owens
Pizzicato Five,1985,Shigeo Miyata
Pizzicato Five,1985,Takao Tajima
Lyube,1989,Q16672020
Deli Creeps,1991,Maximum Bob
Radwimps,2001,Yojiro Noda
Aa!,2003,Reina Tanaka
Lyube,1989,Nikolay Rastorguyev
Pizzicato Five,1985,Maki Nomiya
Pizzicato Five,1985,Ryō Kamomiya
The Waitresses,1977,Tracy Wormworth
Sparklehorse,1995,Mark Linkous
The Waitresses,1977,David Hofstra
The Waitresses,1977,Holly Beth Vincent
Gardenian,1996,Apollo Papathanasio
The Waitresses,1977,Billy Ficca
The Waitresses,1977,Patty Donahue
The Waitresses,1977,Mars Williams
Stuck Mojo,1989,Rich Ward
U.K. Subs,1976,Charlie Harper
Gallows,2005,Frank Carter & The Rattlesnakes
Suprême NTM,1989,DJ Clyde
Gateway Worship,2003,Mark Harris
Gateway Worship,2003,Thomas Miller
Living Colour,1984,Corey Glover
Gateway Worship,2003,Ana Paula Valadão
Shellac,1992,Todd Trainer
Mashina Vremeni,1969,Valery Yefremov
Shellac,1992,Steve Albini
Gateway Worship,2003,Kari Jobe
Swallow the Sun,2000,Markus Jämsen
Shellac,1992,Bob Weston
Gabriel & Dresden,2001,Josh Gabriel
Swallow the Sun,2000,Mikko Kotamäki
Mashina Vremeni,1969,Alexander Kutikov
The Plastic People of the Universe,1968,Milan Hlavsa
Swallow the Sun,2000,Juho Räihä
Gabriel & Dresden,2001,Dave Dresden
Swallow the Sun,2000,Kai Hahto
Swallow the Sun,2000,Matti Honkonen
Mashina Vremeni,1969,Andrey Makarevich
Swallow the Sun,2000,Juuso Raatikainen
Jarabe de Palo,1996,Pau Donés
Swallow the Sun,2000,Jaani Peuhu
Swallow the Sun,2000,Juha Raivio
Narnia,1996,Christian Liljegren
King Missile,1986,Dogbowl
Swallow the Sun,2000,Aleksi Munter
Swallow the Sun,2000,Pasi Pasanen
Ekhymosis love,1988,Juanes
Maldita Vecindad y los Hijos del Quinto Patio,1985,José Luis Paredes Pacho
Trelldom,1992,Gaahl
The Waitresses,1977,Chris Butler
Secret Sphere,1997,Q9617963
Helia,2007,Jackie
Hear'Say,2001,Danny Foster
Kaleidoscope,1967,David Lindley
Remy Zero,1989,Gregory Slay
Heatwave,1975,Johnnie Wilder Jr.
I,2006,Olve Eikemo
The Durutti Column,1978,Vini Reilly
Guided by Voices,1983,Mitch Mitchell
Fudge Tunnel,1989,Alex Newport
The Rooftop Singers,1962,Erik Darling
Sleep,1990,Chris Hakius
Utopia,1974,Todd Rundgren
Keel,1984,Steve Riley
The Originals,1966,Freddie Gorman
Henry Cow,1968,Fred Frith
Henry Cow,1968,Andrew Powell
Mud,1968,Rob Davis
Head East,1969,John Schlitt
Voxtrot,2003,Ramesh Srivastava
Sleep,1990,Al Cisneros
Keel,1984,Ron Keel
Secret Sphere,1997,Michele Luppi
Sleep,1990,Matt Pike
Government Issue,1980,John Stabb
Hedley,2003,Chris Crippin
Los Hermanos Rosario,1978,Toño Rosario
Three Dog Night,1968,Danny Hutton
Imperia,2004,Helena Iren Michaelsen
The Hush Sound,2004,Bob Morris
Kill Hannah,1993,Mat Devine
The Incredible String Band,1966,Mike Heron
Sleep,1990,Jason Roeder
Revolting Cocks,1985,Al Jourgensen
Karmakanic,2002,Jonas Reingold
Handsome Boy Modeling School,1999,Dan the Automator
Headplate,1993,Daniel Granstedt
Hercules & Love Affair,2004,Nomi Ruiz
Uncle Tupelo,1987,Jeff Tweedy
Natas,1992,Esham
Throwing Muses,1981,Tanya Donelly
Hateform,2004,Ville Vänni
Uncle Tupelo,1987,Jay Farrar
Ryan Adams & the Cardinals,2004,Ryan Adams
Hazmat Modine,1998,Wade Schuman
The Ruts,1977,Paul Fox
Hate,1990,Adam Buszko
Rubberslime,2003,Michael Mayer
Hazmat Modine,1998,Steve Elson
Little River Band,1975,Wayne Nelson
NX Zero,2001,Diego Ferrero
Hazmat Modine,1998,Pamela Fleming
Useless ID,1994,Yotam Ben Horin
Y&T,1972,Dave Meniketti
Luscious Jackson,1991,Vivian Trimble
Motionless in White,2005,Chris Motionless
Royal Hunt,1989,André Andersen
Radio Moscow,2003,Parker Griggs
Junip,1999,José González
Luscious Jackson,1991,Kate Schellenbach
Hazmat Modine,1998,Charles Burnham
K's Choice,1994,Gert Bettens
Hootie & the Blowfish,1986,Darius Rucker
The Peanuts,1958,Emi Itō
Hazmat Modine,1998,Joseph Daley
Kill Devil Hill,2011,Vinny Appice
Orquesta de la Luz,1984,Calros Kanno
Hi-Five,1989,Tony Thompson
Ryan Adams & the Cardinals,2004,Brad Pemberton
King,1984,Paul King
K's Choice,1994,Sam Bettens
Magazine,1977,John McGeoch
Tuxedomoon,1977,Blaine L. Reininger
Hazmat Modine,1998,Reut Regev
Luscious Jackson,1991,Jill Cunniff
Ruffus,2003,Vaiko Eplik
Rubberslime,2003,Dirk Jora
Hey Ocean!,2004,Ashleigh Ball
Razor of Occam,1998,Matthew Schneemilch
Lazlo Bane,1995,Chad Fischer
Hateform,2004,Tuomo Latvala
Fun-Da-Mental,1991,Aki Nawaz
Hazmat Modine,1998,Erik Della Penna
Hazmat Modine,1998,Patrick Simard
The Flying Pickets,1982,Brian Hibbard
The Peanuts,1958,Yumi Itō
The Gun,1967,Adrian Gurvitz
Kagerou,1999,Daisuke Oshida
Shai Hulud,1995,Matt Fox
Heathen,1984,Lee Altus
Typical Cats,2000,Denizen Kane
Hate Forest,1995,Roman Saenko
Haste the Day,1978,Stephen Keech
The 4-Skins,1979,Hoxton Tom McCourt
Racer X,1985,Juan Alderete
Future of the Left,2005,Andrew Falkous
Pere Ubu,1975,Peter Laughner
Supersuckers,1988,Eddie Spaghetti
Dark Angel,1983,Jim Durkin
La 5ª Estación,2000,Ángel Reyero
The Shining,2000,John Squire
La 5ª Estación,2000,Natalia Jiménez
The Cramps,1976,Bryan Gregory
The Cramps,1976,Miriam Linna
The Pretty Things,1963,Phil May
The Cramps,1976,Sean Yseult
The Cramps,1976,Jim Sclavunos
Dark Angel,1983,Ron Rinehart
Revolution Renaissance,2008,Timo Tolkki
Leeway,1984,Eddie Sutton
La 5ª Estación,2000,Pablo Domínguez
Northern Kings,2007,Tony Kakko
Minutemen,1980,Mike Watt
The Ataris,1995,Marko DeSantis
Northern Kings,2007,Marco Hietala
Candies,1973,Yoshiko Tanaka
Pop Will Eat Itself,1986,Clint Mansell
Candies,1973,Ran Ito
John Mayer Trio,2005,John Mayer
Hoodoo Gurus,1981,Dave Faulkner
Northern Kings,2007,Jarkko Ahola
Northern Kings,2007,Juha-Pekka Leppäluoto
Eskimo Joe,1997,Stuart MacLeod
Espers,2002,Meg Baird
Candies,1973,Miki Fujimura
Meat Beat Manifesto,1987,Jack Dangers
Alcazar,1998,Andreas Lundstedt
Alcazar,1998,Lina Hedlund
Alcazar,1998,Magnus Carlsson
New Edition,1978,Ricky Bell
New Edition,1978,Bobby Brown
Evans Blue,2005,Dan Chandler
Nightrage,2000,Marios Iliopoulos
The Assembly,1983,Feargal Sharkey
Alcazar,1998,Therese Merkel
New Edition,1978,Ronnie DeVoe
New Edition,1978,Johnny Gill
Dark Angel,1983,Gene Hoglan
The Cramps,1976,Poison Ivy
The Cramps,1976,Nick Knox
Mt. Helium,1999,Ontronik Khachaturian
Hot Chocolate,1969,Errol Brown
Alcazar,1998,Annika Kjærgaard
The Cramps,1976,Lux Interior
The Cramps,1976,Kid Congo Powers
Dark Angel,1983,Don Doty
SR-71,1998,Mitch Allan
Noah,2003,Hendra Suhendra
Dark Angel,1983,Eric Meyer
New Edition,1978,Ralph Tresvant
New Edition,1978,Michael Bivins
Diabulus in Musica,2006,Zuberoa Aznárez
Diablo Swing Orchestra,2003,Daniel Håkansson
Mills Brothers,1925,Herbert Mills
Ice Creamusume,2008,Chao Kuo-jung
Sphere,2009,Minako Kotobuki
Sphere,2009,Aki Toyosaki
Minimoni,2000,Mari Yaguchi
Ice Creamusume,2008,Wu Si-hsuan
Sphere,2009,Ayahi Takagaki
Diablo,1995,Heikki Malmberg
Sphere,2009,Haruka Tomatsu
Die Goldenen Zitronen,1984,Ted Gaier
Diablo,1995,Rainer Nygård
Speed,1996,Hiroko Shimabukuro
The Clancy Brothers,1956,Liam Clancy
Diablo,1995,Marko Utriainen
Diablo,1995,Aadolf Virtanen
Die Goldenen Zitronen,1984,Schorsch Kamerun
Mills Brothers,1925,Harry Mills
BeForU,2000,Riyu Kosaka
Serena-Maneesh,1999,Emil Nikolaisen
Polvo,1990,Ash Bowie
Leathermouth,2013,Frank Iero
Hansson & Karlsson,1967,Janne Carlsson
LFO,1988,Mark Bell
Skitsystem,1994,Tomas Lindberg
Stone,1985,Jiri Jalkanen
Stone,1985,Roope Latvala
LFO,1988,Gez Varley
Loso,1996,Sek Loso
Stone,1985,Janne Joutsenniemi
One Day as a Lion,2008,Zack de la Rocha
Sfinx,1963,Sorin Chifiriuc
Sfinx,1963,Idu Barbu
Sfinx,1963,Mihai Cernea
"Lambert, Hendricks & Ross",1957,Dave Lambert
Stone,1985,Pekka Kasari
Minus the Bear,2001,Jake Snider
Sfinx,1963,Adrian Ivanițchi
Lambretta,1993,Linda Sundblad
The Last Poets,1968,Jalal Mansur Nuriddin
One Day as a Lion,2008,Jon Theodore
Sfinx,1963,Dan Andrei Aldea
MSTRKRFT,2005,Jesse F. Keeler
Nattefrost,2003,Roger Rasmussen
801,1976,Brian Eno
Local H,1987,Scott Lucas
Laika,1993,Margaret Fiedler McGinnis
Vamp,1990,Øyvind Staveland
Noah and the Whale,2006,Charlie Fink
Hansson & Karlsson,1967,Bo Hansson
V8,1982,Ricardo Iorio
Head Control System,2003,Daniel Cardoso
Adam and the Ants,1977,Adam Ant
Le Orme,1966,Aldo Tagliapietra
To/Die/For,1999,Joonas Koto
Matt Bianco,1983,Basia
The (International) Noise Conspiracy,1998,Dennis Lyxzén
Blaze Bayley,1999,Blaze Bayley
The Pioneers,1962,Sydney Crooks
The Church,1980,Steve Kilbey
The Beautiful South,1988,Paul Heaton
The Cab,2004,Alexander DeLeon
Star One,2002,Arjen Anthony Lucassen
Wall of Voodoo,1977,Stan Ridgway
Mongol Shuudan,1989,Valeriy Skoroded
The Aquabats,1994,Christian Jacobs
M Clan,1992,Carlos Tarque
Pilot,1973,David Paton
Lasgo,2000,Peter Luts
Saves the Day,1997,Chris Conley
Pilot,1973,Billy Lyall
Pilot,1973,Ian Bairnson
Necrophagia,1983,Killjoy
New Radicals,1997,Gregg Alexander
The Rascals,1965,Felix Cavaliere
P$C,2001,T.I.
The Servant,1998,Dan Black
Mahotella Queens,1964,Hilda Tloubatla
Mahotella Queens,1964,Nobesuthu Mbadu
The Rascals,1965,Dino Danelli
The Rascals,1965,Gene Cornish
P$C,2001,Big Kuntry King
Pilot,1973,Stuart Tosh
Gary Lewis & the Playboys,1964,Gary Lewis
The Rascals,1965,Eddie Brigati
Fifth Dimension,1966,Florence LaRue
The New Power Generation,1990,John Blackwell
Sneaker Pimps,1994,Chris Corner
The Miracles,1955,Ronald White
Powerman 5000,1991,Spider One
Powerman 5000,1991,Lamar Lowder
The Swellers,2002,Q6041955
Powerman 5000,1991,Sigve Sjursen
Phantom Planet,1994,Jason Schwartzman
Manzarek–Krieger,2002,Robby Krieger
The Disposable Heroes of Hiphoprisy,1990,Michael Franti
Sparta,2001,Jim Ward
Allele,2002,Kelly Hayes
Manzarek–Krieger,2002,Ray Manzarek
Leftöver Crack,1999,Ezra Kire
Ted Leo and the Pharmacists,1999,Ted Leo
To/Die/For,1999,Tonmi Lillman
Tryo,1995,Guizmo
The Klezmatics,1986,Matt Darriau
Sigue Sigue Sputnik,1982,Tony James
Khold,2000,Lars Eric Si
Killarmy,1995,4th Disciple
Siniestro Total,1981,Alberto Torrado
Siniestro Total,1981,Germán Coppini
OHL,1993,Dirk Windgassen
Silicon Teens,1979,Daniel Miller
Everclear,1992,Art Alexakis
OHL,1980,Dirk Windgassen
The Fireman,1993,Martin Glover
Red Sparowes,2003,Bryant Clifford Meyer
HolyHell,2005,Maria Breon
Exposé,1984,Ann Curless
The Blasters,1979,Phil Alvin
Kevin Costner and Modern West,2007,Kevin Costner
Hilltop Hoods,1991,DJ Next
Viikate,1996,Erkka Koskinen
Universal Congress Of,1986,Joe Baiza
System Divide,2008,Sven de Caluwé
System Divide,2008,Miri Milman
Viikate,1996,Kaarle Viikate
No-Man,1986,Steven Wilson
Viikate,1996,Ari Taiminen
Thaurorod,2002,Andi Kravljaca
Viikate,1996,Simo Kairistola
Pleymo,1997,Mark Maggiori
Scouting for Girls,2005,Roy Stride
Hot Boys,1997,Lil Wayne
Emir Kusturica & The No Smoking Orchestra,1993,Emir Kusturica
Hostages of Ayatollah,1989,Johnny Bottrop
Streetlight Manifesto,2002,Tomas Kalnoky
John's Children,1966,Andy Ellison
Puscifer,1995,Maynard James Keenan
X,1977,Ian Rilen
Everything Everything,2007,Alex Niven
Sweet Savage,1979,Vivian Campbell
Evile,2004,Mike Alexander
Sigh,1989,Yasuyuki Suzuki
John's Children,1966,Marc Bolan
The Saints,1974,Chris Bailey
Puscifer,1995,Carina Round
Pitchshifter,1989,JS Clayden
Shadowside,2001,Dani Nolden
Sigh,1989,Mika Kawashima
Sigh,1989,Mirai Kawashima
Omnium Gatherum,1996,Markus Vanhala
Hostages of Ayatollah,1981,Johnny Bottrop
Kino,2004,John Mitchell
The Chills,1980,Peter Gutteridge
Omnium Gatherum,1996,Erkki Silvennoinen
Omnium Gatherum,1996,Joonas Koto
Kjell Roos band,1969,Kjell Roos
Mono Band,2004,Noel Hogan
Susperia,1998,Pål Mathiesen
Sigh,1989,You Oshima
Kino,2004,Pete Trewavas
Omnium Gatherum,1996,Aapo Koivisto
Omnium Gatherum,1996,Jukka Pelkonen
Omnium Gatherum,1996,Tuomo Latvala
Howling Bells,2004,Juanita Stein
Holy Barbarians,1995,Ian Astbury
Stars,2000,Torquil Campbell
Excel,1983,Dan Clements
Scritti Politti,1977,Green Gartside
Sigh,1989,Junichi Harashima
Virus,1999,Olga Laki
The Delfonics,1965,Randy Cain
The Oak Ridge Boys,1947,Joe Bonsall
Storm Corrosion,2010,Mikael Åkerfeldt
Vice Squad,1978,Beki Bondage
Siniestro Total,1981,Julián Hernández
Siniestro Total,1981,Miguel Ángel Costas Peón
Shelter,1990,Ray Cappo
T.S.O.L.,1978,Jack Grisham
The Fireman,1993,Paul McCartney
Stars,2000,Amy Millan
The Bad Plus,2000,Ethan Iverson
The O'Jays,1958,Eddie Levert
Spinnerette,2007,Brody Dalle
Ruoska,2002,Patrik Mennander
Every Time I Die,1998,Keith Buckley
Ponytail,2005,Dustin Wong
Soda Stereo,1950,Ricardo Arjona
Soda Stereo,1950,Zeta Bosio
Guys 'n' Dolls,1974,Paul Griggs
Triumph,1975,Mike Levine
Soda Stereo,1950,Daniel Sais
Les Surfs,1963,Coco Rabaraona
Les Surfs,1963,Nicole Rabaraona
Soda Stereo,1950,Charly Alberti
Kōenji Hyakkei,1991,Tatsuya Yoshida
Les Surfs,1963,Dave Rabaraona
Les Surfs,1963,Pat Rabaraona
Les Surfs,1963,Rocky Rabaraona
Triumph,1975,Gil Moore
Les Surfs,1963,Monikya Rabaraona
Soda Stereo,1950,guti chupame las patas
Triumph,1975,Phil X
Triumph,1975,Rik Emmett
Les Ramoneurs de menhirs,2006,Laurent Katrakazos
Linea 77,1993,emo
Split Enz,1972,Malcolm Green
Split Enz,1972,Phil Judd
Split Enz,1972,Neil Finn
Split Enz,1972,Miles Golding
Split Enz,1972,Nigel Griggs
Split Enz,1972,Tim Finn
Squirrel Nut Zippers,1993,Tom Maxwell
Split Enz,1972,Noel Crombie
Liberty X,2001,Michelle Heaton
Split Enz,1972,Mike Chunn
Nightingale,1995,Dan Swanö
Allen-Lande,2005,Russell Allen
Split Enz,1972,Paul Hester
Allen-Lande,2005,Magnus Karlsson
Split Enz,1972,Eddie Rayner
True Symphonic Rockestra,2006,James LaBrie
Allen-Lande,2005,Jørn Lande
Allen-Lande,2005,Timo Tolkki
Third World,1973,Michael Cooper
Dodgy,1990,Nigel Clark
Sacrilege,1984,Frank Healy
Samanda,2007,Amanda Louise Marchant
Samanda,2007,Samantha Joanne Marchant
Skank,1991,Samuel Rosa
Worlds Apart,1992,Tim Fornara
Psycho Realm,1989,B-Real
Dishwalla,1994,J. R. Richards
Matia Bazar,1975,Carlo Marrale
Matia Bazar,1975,Mauro Sabbione
The Civil Wars,2009,Joy Williams
City (Comma) State,2010,Joanna Pacitti
Sabri Brothers,1956,Ghulam Fareed Sabri
Diggin' in the Crates Crew,1990,Big L
Matia Bazar,1975,Sergio Cossu
Come Shine,1988,Erlend Skomsvoll
The Secret Machines,2000,Brandon Curtis
Divine Heresy,2006,Dino Cazares
Matia Bazar,1975,Piero Cassano
Mclusky,1996,Andrew Falkous
Dog Fashion Disco,1995,Todd Smith
Santa Barbara Machine Head,1967,Twink
Temple of the Absurd,1993,Sabina Classen
Matia Bazar,1975,Aldo Stellita
Matia Bazar,1975,Giancarlo Golzi
3LW,1999,Naturi Naughton
Doctors of Madness,1974,Richard Strange
Hoola Bandoola Band,1970,Mikael Wiehe
Matia Bazar,1975,Antonella Ruggiero
The Mission,1986,Wayne Hussey
Recoil,1986,Alan Wilder
Dion and the Belmonts,1957,Fred Milano
Rhino Bucket,1988,Simon Wright
Dion and the Belmonts,1957,Carlo Mastrangelo
Dion and the Belmonts,1957,Angelo D’Aleo
Rhino Bucket,1988,"Anthony ""Tiny"" Biuso"
Dolly,1989,Mickaël Chamberlin
Dopplereffekt,1995,Gerald Donald
The Gladiators,1967,Clinton Fearon
The Coral,1996,Bill Ryder-Jones
Fear,1977,Lee Ving
Rhino Bucket,1988,Richard Madenfort
Do Make Say Think,1995,Ohad Benchetrit
The Postal Service,2001,Jenny Lewis
Alcatrazz,1983,Graham Bonnet
Dion and the Belmonts,1957,Dion DiMucci
Katra,2005,Katra Solopuro
Rhino Bucket,1988,Georg Dolivo
Rhino Bucket,1988,Brian Forsythe
Orange Juice,1976,Edwyn Collins
The Postal Service,2001,Ben Gibbard
Codeine,1989,Chris Brokaw
Rhino Bucket,1988,Greg Fidelman
Stretch,1974,Kirby Gregory
Pooh,1966,Riccardo Fogli
Brain Surgeons,1994,Albert Bouchard
Whiskeytown,1994,Ryan Adams
Pooh,1966,Dodi Battaglia
Pooh,1966,Mario Goretti
Jonathan and Charlotte,2012,Jonathan Antoine
The Postal Service,2001,Dntel
The Beloved,1983,Jon Marsh
Pooh,1966,Mauro Bertoli
Pata Negra,1978,Raimundo Amador
Queens of the Stone Age,1996,Mark Lanegan
Pooh,1966,Stefano D'Orazio
Pooh,1966,Red Canzian
Thelonious Monster,1983,Bob Forrest
Pata Negra,1978,Rafael Amador Fernández
Pooh,1966,Gilberto Faggioli
Pooh,1966,Roby Facchinetti
Pooh,1966,Valerio Negrini
My Darkest Days,2005,Matt Walst
The Beta Band,1996,John Maclean
The Quireboys,1984,Spike
The Gutter Twins,2003,Greg Dulli
Sacrilege,1984,Damien Thompson
Sad Café,1976,Paul Young
The West Coast Pop Art Experimental Band,1966,Bob Markley
Sacrilege,1984,"Lynda ""Tam"" Simpson"
Jonathan and Charlotte,2012,Charlotte Jaconelli
Dope Stars Inc.,2003,Alex Vega
Sabbat,1985,Andy Sneap
The Intelligence,1999,Chris Woodhouse
Vinnie Vincent Invasion,1985,Vinnie Vincent
Noise Unit,1989,Bill Leeb
War,1969,Eric Burdon
Okkervil River,1998,Will Sheff
The Exies,1997,Scott Stevens
Nine Horses,2005,David Sylvian
Skull Fist,2006,Jonny Nesta
Seefeel,1992,Mark Clifford
David Shankle Group,2002,David Shankle
Las niñas del Can,1981,Miriam Cruz
Over the Rainbow,2009,Tony Carey
Rasputina,1992,Zoë Keating
Unkle,1994,James Lavelle
Seefeel,1992,Mark Van Hoen
Krallice,2008,Colin Marston
The Dogs D'Amour,1983,Tyla
Seefeel,1992,DJ Scotch Egg
Nil,1998,Tetsu Takano
Argent,1968,Rod Argent
ASAP,1989,Adrian Smith
The Bottrops,2006,Johnny Bottrop
Tilly and the Wall,2001,Kianna Alarid
Old and New Dreams,1976,Ed Blackwell
Krank,2002,Robin Rehmann
The Long Ryders,1983,Sid Griffin
Reckless Love,2001,H. Olliver Twisted
Evil Superstars,1992,Mauro Pawlowski
Orelha Negra,2009,Sam the Kid
Offenbach,1969,Gerry Boulet
Veruca Salt,1993,Jim Shapiro
Comes with the Fall,1999,William DuVall
Persone,1986,Bertilo Wennergren
Vintage,2006,Q42606222
Vintage,2006,Q42606297
Vintage,2006,Q42606313
The Enemy,2006,Tom Clarke
Krallice,2008,Mick Barr
Sinsemilia,1990,Riké
MDC,1979,Dave Dictor
Rich Kids,1977,Glen Matlock
Smoke City,1996,Nina Miranda
Teddybears,1991,Joakim Åhlund
Olive,1994,Ruth-Ann Boyle
The Tourists,1977,David A. Stewart
Veruca Salt,1993,Nina Gordon
Halford,1999,Rob Halford
Veruca Salt,1993,Stacy Jones
"Giles, Giles and Fripp",1967,Michael Giles
The Alarm,1981,Mike Peters
Acheron,1988,Peter H. Gilmore
Vintage,2006,Anna Pletnyova
MDC,1979,"Mikey ""Offender"" Donaldson"
Teddybears,1991,Patrik Arve
Rough Cutt,1981,Paul Shortino
Vintage,2006,Alexey Romanof
Persone,1986,Martin Wiese
Teddybears,1991,Klas Åhlund
Galneryus,2001,Masatoshi Ono
Blackstar,1997,Jeffrey Walker
Vintage,2006,Anna Kornilieva
Odd Project,2000,Michael Jagmin
Acheron,1988,Vincent Crowley
Opera IX,1988,Cadaveria
The Black Heart Procession,1997,Pall Jenkins
Dewa 19,1986,Ahmad Dhani
Veruca Salt,1993,Louise Post
Tribes of Neurot,1995,Scott Kelly
Oregon,1970,Paul McCandless
Oregon,1970,Ralph Towner
Solstice,1990,Rob Barrett
Lords of Acid,1988,Praga Khan
Oregon,1970,Collin Walcott
Starfield,2000,Tim Neufeld
Oregon,1970,Glen Moore
Love Spit Love,1992,Richard Butler
Opera IX,1988,Flegias
Om,2003,Chris Hakius
Krematorij,1983,Armen Grigoryan
The Spinners,1954,Bobby Smith
Shotgun Messiah,1985,Tim Sköld
Ollie & Jerry,1984,Ollie E. Brown
Oregon,1970,Mark Walker
Illusion,1977,Jim McCarty
Om,2003,Al Cisneros
Theatre of Hate,1980,Kirk Brandon
Om,2003,Lichens
Seikima-II,1982,Demon Kakka
Yö,1981,Olli Lindholm
Om,2003,Emil Amos
Sleepercar,2002,Jim Ward
Snafu,1972,Bobby Harrison
The Lox,1994,Jadakiss
Oregon,1970,Trilok Gurtu
War,1969,Lonnie Jordan
The Only Ones,1976,Peter Perrett
SPK,1978,Graeme Revell
Wang Chung,1980,Jack Hues
Seefeel,1992,Sarah Peacock
Krank,2005,Robin Rehmann
This Heat,1976,Charles Bullen
45 Grave,1979,Dinah Cancer
Negative Approach,1981,John Brannon
Passion Pit,2007,Michael Angelakos
Los Fabulosos Cadillacs,1985,Vicentico
Outlaws,1972,Monte Yoho
Luca Turilli's Dreamquest,2005,Luca Turilli
Doro,1989,Doro
Doro,1989,Johnny Dee
Los Bravos,1965,Mike Kogel
Maskinen,2007,Oskar Linnros
Doro,1989,Richard Madenfort
Doro,1989,Bas Maas
Doro,1989,Luca Princiotta
Doro,1989,Nick Douglas
Doro,1989,Jon Levin
Los Violadores,1981,Pil Trafa
Doro,1989,Tommy Henriksen
Doro,1989,Chris Caffery
Loose Tubes,1984,Julian Argüelles
Twiztid,1997,Jamie Madrox
Nemesea,2002,Manda Ophuis
Doro,1989,Oliver Palotai
Sadus,1984,Steve Di Giorgio
Peeping Tom,2000,Mike Patton
Londonbeat,1988,Jimmy Helms
The Three Degrees,1963,Fayette Pinkney
Nachtmystium,2000,Blake Judd
The La's,1984,Peter Cammell
Loudblast,1986,Stéphane Buriez
Rossington Collins Band,1979,Gary Rossington
The La's,1984,Lee Mavers
The Puppini Sisters,2004,Marcella Puppini
The La's,1984,Neil Mavers
The Three Degrees,1963,Sheila Ferguson
The Automatic,2002,Alex Pennie
The Pharcyde,1989,Slimkid3
London SS,1975,Mick Jones
Living in a Box,1985,Richard Darbyshire
Gaither Vocal Band,1981,Bill Gaither
Stadio,1977,Giovanni Pezzoli
Al Tall,1975,Enric Banyuls
Arthemis,1994,Andrea Martongelli
The Cooper Temple Clause,1998,Tom Bellamy
Hot Leg,2008,Justin Hawkins
Strung Out,1989,Jim Cherry
Spark,2007,René Randrianarisoa
Spark,2007,Stefan Balazsovics
Souls at Zero,1993,Shannon Larkin
Spark,2007,Daniel Koschitzki
Killer,1999,Siiri Nordin
Spark,2007,Arseni Sadykov
Spark,2007,Stefan Glaus
Spark,2007,Victor Plumettaz
Spark,2007,Andrea Ritter
Spark,2007,Mischa Cheung
Spain,1993,Josh Haden
