band,inception,musician
Destiny's Child,1990,Beyoncé
Destiny's Child,1990,LaTavia Roberson
Metronomy,1999,Joseph Mount
Alphaville,1982,Robbie France
The Auteurs,1991,Luke Haines
Genesis,1967,Bill Bruford
Metronomy,1999,Olugbenga Adelekan
Alphaville,1982,Marian Gold
Tangerine Dream,1967,Klaus Schulze
The Mountain Goats,1991,John Darnielle
Alphaville,1982,Bernhard Lloyd
Alphaville,1982,Frank Mertens
Destiny's Child,1990,Michelle Williams
K2,1990,Aleksandra Kovač
Metronomy,1999,Oscar Cash
Destiny's Child,1990,LeToya Luckett
Systems in Blue,2003,Rolf Köhler
Destiny's Child,1990,Kelly Rowland
Metronomy,1999,Anna Prior
Destiny's Child,1990,Farrah Franklin
Tangerine Dream,1967,Edgar Froese
Tangerine Dream,1967,Ulrich Schnauss
Tangerine Dream,1967,Thorsten Quaeschning
Tangerine Dream,1967,Hoshiko Yamane
The Desert Sessions,1997,Josh Homme
KAT-TUN,2001,Jin Akanishi
Gorgoroth,1992,Infernus
Real McCoy,1989,Olaf Jeglitza
Real McCoy,1989,Frank Hassas
No Doubt,1986,Eric Stefani
The Jackson 5,1964,Michael Jackson
The Magnetic Fields,1989,Sam Davol
Real McCoy,1989,Jürgen Wind
Koil,1993,Otong
Nu Virgos,2000,Darya Rostova
Gipsy Kings,1978,Patchaï Reyes
Vanilla Ninja,2002,Maarja Kivi
Nu Virgos,2000,Anastasia Kozhevnikova
The Jackson 5,1964,Jackie Jackson
Gipsy Kings,1978,Jahloul “Chico” Bouchikhi
Vanilla Ninja,2002,Katrin Siska
Vanilla Ninja,2002,Lenna Kuurmaa
NikitA,2008,Dasha Astafieva
Gipsy Kings,1978,Andre Reyes
Thirty Seconds to Mars,1998,Jared Leto
Blue,2000,Simon Webbe
Vanilla Ninja,2002,Piret Järvis
Vanilla Ninja,2002,Triinu Kivilaan
Gipsy Kings,1978,Paul “Pablo” Reyes
Nu Virgos,2000,Erika Gerceg
Nu Virgos,2000,Misha Romanova
Lyapis Trubetskoy,1989,Q4098769
Gipsy Kings,1978,Nicolas Reyes
4Minute,2009,Heo Ga-yoon
4Minute,2009,Son Ji-hyun
Gipsy Kings,1978,Tonino Antoine  Baliardo
Die Ärzte,1982,Rodrigo Andrés González Espindola
Gipsy Kings,1978,Maurice “Diego” Baliardo
4Minute,2009,Hyuna
NikitA,2008,Julia Kavtaradze
4Minute,2009,Kwon So-hyun
The Wanted,2009,Max George
Lyapis Trubetskoy,1989,Siarhei Mikhalok
Die Ärzte,1982,Farin Urlaub
Die Ärzte,1982,Bela B.
4Minute,2009,Jeon Ji-yoon
Jungle Brothers,1987,Sensational
Crooked Still,2001,Rushad Eggleston
The Magnetic Fields,1989,Claudia Gonson
The Magnetic Fields,1989,John Woo
Koil,1993,Doni
The Magnetic Fields,1989,Stephin Merritt
Radiohead,1985,Jonny Greenwood
Hollywood Undead,2005,Matthew Busek
Hollywood Undead,2005,Shady Jeff
Hollywood Undead,2005,"George ""Johnny 3 Tears"" Ragan"
The Jackson 5,1964,Jermaine Jackson
The Jackson 5,1964,Tito Jackson
The Jackson 5,1964,Marlon Jackson
Bonde do Rolê,2005,Marina Ribatski
Nightwish,1996,Sami Vänskä
Nightwish,1996,Marco Hietala
Kraftwerk,1970,Henning Schmitz
Kraftwerk,1970,Ralf Hütter
Nightwish,1996,Tuomas Holopainen
Nightwish,1996,Floor Jansen
Nightwish,1996,Jukka Nevalainen
Nightwish,1996,Anette Olzon
Nightwish,1996,Tarja Turunen
Nightwish,1996,Kai Hahto
Kraftwerk,1970,Karl Bartos
Nightwish,1996,Emppu Vuorinen
Hollywood Undead,2005,Deuce
Hollywood Undead,2005,Daniel Rose Murillo
Hollywood Undead,2005,Jordon Kristopher Terrell
Radiohead,1985,Thom Yorke
Radiohead,1985,Philip Selway
Hollywood Undead,2005,Dylara Peter Alvarez
Nightwish,1996,Troy Donockley
Hollywood Undead,2005,J-Dog
Radiohead,1985,Ed O'Brien
Radiohead,1985,Colin Greenwood
Nevermore,1991,Warrel Dane
Jonas Brothers,2005,Nick Jonas de aguacate
Zard,1991,Izumi Sakai
Il était une fois,1972,Joëlle Mogensen
Il était une fois,1972,Lionel Gaillardin
The Shangri-Las,1963,Mary Weiss
The Black Eyed Peas,1995,Fergie
