person,spouse
Clint Eastwood,Maggie Johnson
Johnny Depp,Amber Heard
John Wayne,Esperanza Baur
Joan Crawford,Alfred Steele
John Wayne,Josephine Wayne
Wassily Leontief,Estelle Marks
Johnny Depp,Lori Anne Allison
Kate Capshaw,Steven Spielberg
Denzel Washington,Pauletta Pearson Washington
Frank Sinatra,Barbara Sinatra
Clint Eastwood,Dina Eastwood
Demi Moore,Freddy Moore
Jay Grdina,Jenna Jameson
Terry Branstad,Christine Branstad
George Lucas,Marcia Lucas
Jane Fonda,Ted Turner
Sylvester Stallone,Jennifer Flavin
Reese Witherspoon,Ryan Phillippe
George Lucas,Mellody Hobson
Frank Sinatra,Mia Farrow
Candy Clark,Marjoe Gortner
Natalie Portman,Benjamin Millepied
Jane Fonda,Roger Vadim
Tom Cruise,Katie Holmes
Bobby Fischer,Miyoko Watai
Sylvester Stallone,Sasha Czack
Reese Witherspoon,Jim Toth
Katherine LaNasa,Dennis Hopper
Mel Gibson,Robyn Moore
Tom Cruise,Mimi Rogers
Johnny Cash,June Carter Cash
Kurt Gödel,Adele Gödel
Mariah Carey,Nick Cannon
Karen Keskulla Uhlenbeck,Olke C. Uhlenbeck
Nicolas Cage,Lisa Marie Presley
Katherine LaNasa,Grant Show
Julie Adams,Leonard B. Stern
Johnny Cash,Vivian Liberto
John Steinbeck,Elaine Anderson Steinbeck
Michael Jordan,Juanita Vanoy
Nicole Kidman,Keith Urban
Nicolas Cage,Alice Kim Cage
Lillian Moller Gilbreth,Frank Bunker Gilbreth
Martin Scorsese,Julia Cameron
Nicole Kidman,Tom Cruise
Ludwig Mies van der Rohe,Ada Mies
Julie Adams,Ray Danton
Butch Otter,Lori Easley
Nicolas Cage,Patricia Arquette
Mila Kunis,Ashton Kutcher
Blythe Danner,Bruce Paltrow
Mark Ruffalo,Sunrise Coigney
Candice King,Joe King
John Steinbeck,Carol Henning
Dustin Hoffman,Lisa Hoffman
Mary Tyler Moore,Grant Tinker
John Steinbeck,Gwyn Conger
T. S. Eliot,Valerie Eliot
Martin Scorsese,Isabella Rossellini
Martin Scorsese,Barbara De Fina
Julia Roberts,Lyle Lovett
Martin Scorsese,Helen Schermerhorn Morris
T. S. Eliot,Vivienne Haigh-Wood Eliot
Christina Aguilera,Jordan Bratman
Martin Scorsese,Laraine Marie Brennan
Dustin Hoffman,Anne Byrne Hoffman
Michael Jordan,Yvette Prieto
Eddie Murphy,Tracey Edmonds
Rita Hayworth,Orson Welles
Rita Hayworth,James Hill
Joan Crawford,Phillip Terry
Sarah Palin,Todd Palin
Rita Hayworth,Edward C. Judson
Josh Brolin,Diane Lane
Rita Hayworth,Dick Haymes
Brad Paisley,Kimberly Williams-Paisley
Joan Crawford,Franchot Tone
Malcolm X,Betty Shabazz
Joan Crawford,Douglas Fairbanks Jr
Julia Roberts,Daniel Moder
Michael Phelps,Nicole Johnson
Rita Hayworth,Prince Aly Khan
Ray Bradbury,Marguerite Bradbury
Paul Newman,Joanne Woodward
Will Smith,Jada Pinkett Smith
Eddie Murphy,Nicole Mitchell Murphy
Frank Sinatra,Ava Gardner
Frank Sinatra,Nancy Sinatra
Jackson Pollock,Lee Krasner
Justin Timberlake,Jessica Biel
Caterina Fake,Stewart Butterfield
Katy Perry,Russell Brand
Josh Brolin,Alice Adair
John Wayne,Pilar Pallete
Stephen King,Tabitha King
