person,spouse
Roy Watson,Jane Keckley
Susan Leigh Star,Geoff Bowker
Ruth Nelson,John Cromwell
Tanna Frederick,Henry Jaglom
Richard Levinson,Rosanna Huffman
Robert Foulk,Barbara Slater
Tami Roman,Kenny Anderson
Myndy Crist,Josh Stamberg
Stacy Title,Jonathan Penner
Silda Wall Spitzer,Eliot Spitzer
Susan Zuccotti,John Zuccotti
Sam Bobrick,Julie Stein
Adam Bernstein,Jessica Hecht
Terry Gross,Francis Davis
Catherine E. Coulson,Jack Nance
Robyn Erbesfield-Raboutou,Didier Raboutou
Sheila Jasanoff,Jay Jasanoff
Shane Costa,Brittanie Weaver
Ruth Greenglass,David Greenglass
Sophia Hawthorne,Nathaniel Hawthorne
Stacie Mistysyn,James Gallanders
Guy Ballard,Edna Anne Wheeler Ballard
Robert Lieberman,Marilu Henner
Richard N. Goodwin,Doris Kearns Goodwin
Jere Burns,Kathleen Kinmont
Sy Kravitz,Roxie Roker
Sundar Pichai,Anjali Pichai
Bobby Shriver,Malissa Feruzzi
Whitney Straight,Diana Barnato Walker
Rupert Hughes,Adelaide Manola
Robert Lopez,Kristen Anderson-Lopez
Roger Perry,Jo Anne Worley
Rod Amateau,Coleen Gray
Roger Perry,Joyce Bulifant
Cardiss Collins,George W. Collins
Simone Forti,Robert Morris
Oberon Zell-Ravenheart,Morning Glory Zell-Ravenheart
Scott Kim,Amy Jo Kim
Alice Vanderbilt Morris,David Hennen Morris
Russell Sage,Margaret Olivia Slocum Sage
Robert Holmes,Jane Jensen
Sharon Arms Doucet,Michael Doucet
Stella Kowalski,Stanley Kowalski
Paul Washer,Charo Washer
Roger O. Hirson,Alice Hirson
April Margera,Phil Margera
Robbi Morgan,Mark L. Walberg
Richard Smith,Alice Howell
Anson Rainey,Zipora Cochavi-Rainey
Kevin Bacon,Kyra Sedgwick
Zoe Ann Olsen-Jensen,Jackie Jensen
Sophia Dallas,George M. Dallas
Sheila Larken,R. W. Goodwin
Mark Penn,Nancy Jacobson
Scott Reeves,Melissa Reeves
Rob LaZebnik,Claire Scovell LaZebnik
Russell Hayden,Lillian Porter
Tammy Grimes,Jeremy Slate
Robert Walser,Susan McClary
Stephanie Gillis,Al Jean
Rosemary Theby,Harry Myers
Rosina Lawrence,John McCabe
Richard Lockridge,Frances Louise Lockridge
Stephen J. Bartowski,Mary Elizabeth Bartowski
James Speyer,Ellin Prince Speyer
John Owen Dominis,Liliʻuokalani
Susan Yeagley,Kevin Nealon
Sewell Collins,Margaret Moffat
Robert Agostinelli,Rosalie van Breemen
"Ross Bagdasarian, Jr.",Janice Karman
Shirley Graham Du Bois,W.E.B. Du Bois
Rodney Peete,Holly Robinson Peete
Rick O'Connell,Evelyn O'Connell
Sidney Drew,Lucille McVey
Robert Simpson,Joanne Simpson
Charles Grimes,Jane Brown Grimes
Russell Hayden,Jan Clayton
Shary Flenniken,Bobby London
Seth Peterson,Kylee Cochran
Bob Mackie,Lulu Porter
Steve Brodie,Lois Andrews
Sheldon Lewis,Virginia Pearson
Robyn Smith,Fred Astaire
Stanner E.V. Taylor,Marion Leonard
Stephanus Van Cortlandt,Gertrude Van Cortlandt
Stephen Gaskin,Ina May Gaskin
Richard Guay,Nancy Savoca
Nancy Hanks Lincoln,Thomas Lincoln
Queen Kapiolani,Kalākaua
Frances Davis Alda,Miner Raymond VirDen
Ralph Murphy,Gloria Dickson
Olga Samaroff,Leopold Stokowski
Bennett Cerf,Sylvia Sidney
Jean Berko Gleason,Andrew Gleason
Pegeen Vail Guggenheim,Ralph Rumney
Ray Knight,Nancy Lopez
Monte Brice,Doris Hill
Roger Sherman Loomis,Gertrude Schoepperle
Norma Barzman,Ben Barzman
Steven Ho,Nina Petronzio
Rebecca Kleefisch,Joel Kleefisch
Morris Carnovsky,Phoebe Brand
Patrice Wymore,Errol Flynn
David Eisenhower,Julie Nixon Eisenhower
Frances Davis Alda,Giulio Gatti-Casazza
Myra Keaton,Joe Keaton
Paul Germain,Beatrice Mills
Narcissa Niblack Thorne,James Ward Thorne
Marjorie Monaghan,Grant Rosenberg
Arun Manilal Gandhi,Sunanda Gandhi
Olga Samaroff,Boris Loutzky
Otis Skinner,Maud Durbin
Jordan Peele,Chelsea Peretti
Nina Romano,Lou Tellegen
Phyllis Gordon,Eugene Pallette
Nancy Savoca,Richard Guay
Priscilla Fairfield Bok,Bart Bok
Patrice Munsel,Robert C. Schuler
Ray Gilbert,Janis Paige
Myron Selznick,Marjorie Daw
Robert Barnett,Rita Braver
Noel Blanc,Martha Smith
Ned Leeds,Betty Brant
Eleanor Margaret Green,Count Viggo of Rosenborg
Peter Jefferson,Jane Randolph Jefferson
Richard A. Colla,Denise Alexander
Peter Case,Denise Sullivan
Phil Margera,April Margera
Nancy Chaffee,Jack Whitaker
Nora Eddington,Dick Haymes
Nora Eddington,Errol Flynn
Potter Palmer,Bertha Palmer
Pauline Curley,Kenneth Peach
Neal Israel,Amy Heckerling
Nance O'Neil,Alfred Hickman
Olive Blakeney,Bernard Nedell
Paul Avery,Margo St. James
Reid Brignac,Lauren Anderson
Myron Coureval Fagan,Minna Gombell
Susan McClary,Robert Walser
Nancy Chaffee,Ralph Kiner
Lois Andrews,Steve Brodie
Neal Marlens,Carol Black
Nancy Juvonen,Jimmy Fallon
Paige Davis,Greg Benson
Pierre Laclède,Marie-Therese Bourgeois Chouteau
Paige Davis,Patrick Page
Stephen V. Harkness,Anna M. Harkness
Nancy Morgan,John Ritter
Paul Fejos,Inga Arvad
Natalie Kalmus,Herbert Kalmus
Ralph Ince,Lucille Mendez
Jack Lawrence,Annie Cruz
David Kawānanakoa,Abigail Campbell Kawānanakoa
Peter Morton,Paulene Stone
Robert Plomin,Judith Dunn
Paul Malvern,Jean Huntley
Lois Andrews,George Jessel
Murray Louis,Alwin Nikolais
Pegeen Vail Guggenheim,Jean Hélion
Richard Gaines,Brenda Marshall
Pat Woodell,Gary Clarke
Peg Dixon,Ed McNamara
Pegi Young,Neil Young
Phyllis Brooks,Torbert Macdonald
Raymond Nasher,Patsy Nasher
Allison Stokke,Rickie Fowler
Queen Kapiolani,Benjamin Nāmākēhā
Lelia Goldoni,Ben Carruthers
Bennett Cerf,Phyllis Fraser
Mona Darkfeather,Frank Montgomery
Jeanne-Claude,Christo
Pamela Hensley,Wes Farrell
Pamela Hensley,E. Duke Vincent
John Wojtowicz,Elizabeth Eden
Drew Arellano,Iya Villanía
William Harrigan,Louise Groody
Addie McPhail,Roscoe Arbuckle
Brienne Pedigo,Tyler Christopher
William Edward Duellman,Linda Trueb
Veronica Belmont,Ryan Block
Virginia O'Brien,Kirk Alyn
"Theodore Roosevelt, Sr.",Martha Bulloch Roosevelt
Curtis Sliwa,Lisa Evers
Arthur Knight,Mary Ann Nyberg
DJ Colette,Thomas Ian Nicholas
William Marshall,Ginger Rogers
William Marshall,Michèle Morgan
William Edward Duellman,Ann S. Duellman
Virginia Pearson,Sheldon Lewis
Whitney Blake,Allan Manings
Pooja Batra,Nawab Shah
William Harrigan,Grace Culbert
Bill Woodson,Darlene Conley
Julie Chen,Les Moonves
Barbara Goldsmith,Frank Perry
Wally Cassell,Marcy McGuire
Abbe Lane,Xavier Cugat
Walter Grauman,Joan Taylor
William Talman,Barbara Read
Anton Myrer,Patricia Schartle Myrer
Anne Cornwall,Charles Maigne
Anita of Braganza,"Prince Miguel, Duke of Viseu"
Vincent Van Patten,Betsy Russell
"William Broyles, Jr.",Linda Purl
Abigail Washburn,Béla Fleck
Victoria Mallory,Mark Lambert
Adrienne La Russa,Steven Seagal
Albert Edward Sterner,Marie Sterner
Tyler Christopher,Brienne Pedigo
Babe London,Phil Boutelje
Alfred L. Copley,Nína Tryggvadóttir
Babe Paley,William S. Paley
Vincent Van Patten,Eileen Davidson
Jane Cowl,Adolph Klauber
Wesley Addy,Celeste Holm
Winnie Lightner,Roy Del Ruth
Bonnie Franklin,Marvin Minoff
Barbara Niven,"David Niven, Jr."
Viken Berberian,Gariné Torossian
William J. Bell,Lee Phillip Bell
Lisa Joyner,Jon Cryer
Abbey Bartlet,Josiah Bartlet
William Traylor,Peggy Feury
Arthur Pierson,Ruth Matteson
Wheeler Vivian Oakman,Priscilla Dean
Ann Eliza Young,Brigham Young
Yamuna Kachru,Braj Kachru
Ashley Miller,Ethel Browning
William Dufty,Gloria Swanson
Zuka,Tim
William Bakewell,Jennifer Holt
Alice Dunbar Nelson,Paul Laurence Dunbar
William Russell,Helen Ferguson
William Louis Culberson,Chicita Frances Culberson
Eliane Karp,Alejandro Toledo
Willard Parker,Virginia Field
William Eythe,Buff Cobb
Alice Dunbar Nelson,Henry Arthur Callis
Vera Lewis,Ralph Lewis
Yannick Andréi,Q64569545
William Russell,Charlotte Burton
Blacksmith,Goldface
William Dozier,Joan Fontaine
Vivi Janiss,Robert Cummings
Vivi Janiss,John Larch
Paul Mayeda Berges,Gurinder Chadha
William P. McGivern,Maureen Daly
Amy Farrah Fowler,Sheldon Cooper
William Marshall,Micheline Presle
William V. Ranous,Dora Knowlton Ranous
Walter Francis White,Poppy Cannon
Waldo Peirce,Alzira Peirce
Dagmar,Danny Dayton
Waldo Peirce,Ivy Troutman
Waldo Peirce,Dorothy Rice Sims
Cynthia Stone,Jack Lemmon
Cynthia Stone,Cliff Robertson
Vendela Vida,Dave Eggers
William Dozier,Ann Rutherford
Anselma Dell'Olio,Giuliano Ferrara
Alice Hollister,George K. Hollister
Anna Alcott Pratt,John Bridge Pratt
William Dummer Powell,Anne Murray
Yasuo Kuniyoshi,Katherine Schmidt
Allen Holubar,Dorothy Phillips
Aaron Elkins,Charlotte Elkins
Drew Arellano,Ching Arellano
Virginia Gilmore,Yul Brynner
Werner Janssen,Ann Harding
Zach Weinersmith,Kelly L. Weinersmith
William Beutenmüller,Edna Libby Beutenmüller
Jean Loring,Atom
Verree Teasdale,Adolphe Menjou
Albertina Rasch,Dimitri Tiomkin
Eleanor Glueck,Sheldon Glueck
Cleo Ridgely,James W. Horne
Carol Grace,William Saroyan
Francesca Braggiotti,John Davis Lodge
DeMarco Murray,Heidi Mueller
Donna Axum,Gus Franklin Mutscher
Genevieve Hamper,Robert B. Mantell
George Blumenthal,Florence Meyer Blumenthal
Daniel Tyler,Emily Lee
Charles Fillmore,Myrtle Fillmore
Daniel Palladino,Amy Sherman-Palladino
David Clayton Rogers,Sally Pressman
Elliot Scheiner,Diana Canova
Frances Louise Lockridge,Richard Lockridge
Carolyn Suzanne Sapp,Alex Daniels
Dawn Steel,Charles Roven
Frankie Rayder,Flea
Seth Lipsky,Amity Shlaes
Cecil Spooner,Charles E. Blaney
Carolyn Hester,Richard Fariña
Elisa Maza,Goliath
Gertrude Thanhouser,Edwin Thanhouser
Hank Summers,Joyce Summers
Doris Pawn,Rex Ingram
Daniel Robbins,Barbara Robbins
Frank Doubleday,Christina Hart
Carol Grace,Walter Matthau
Darleen Carr,Jameson Parker
Frank Buck,Amy Leslie
Joanna Moore,Ryan O'Neal
Carole Beebe Tarantelli,Ezio Tarantelli
Debbye Turner,Kirbyjon Caldwell
Cathee Dahmen,Alan Merrill
Moriah Peters,Joel Smallbone
Chip Kidd,J. D. McClatchy
Ethel Grandin,Ray C. Smallwood
Claire Whitney,Robert Emmett Keane
William Keith,Mary McHenry Keith
Tod Robbins,Sally Rand
Jennifer Meyer,Tobey Maguire
Colleen Kay Hutchins,Ernie Vandeweghe
Joanna Moore,Don Oreck
George Blumenthal,Mary Ann Wrangell
Claire M. Fraser,Craig Venter
F. Mason Perkins,Irene Vavasour Elder
Harold Schechter,Kimiko Hahn
Donald Trump Jr.,Vanessa Trump
Danny Burstein,Rebecca Luker
Darnell Turner,Joy Turner
Elizabeth Plater-Zyberk,Andrés Duany
Emily Hahn,Charles Ralph Boxer
Ethelind Terry,Dick Purcell
Guy Coombs,Anna Q. Nilsson
Charles L. Grant,Kathryn Ptacek
Campbell Brown,Dan Senor
Hans P. Eugster,Elaine Koppelman
Ken Auletta,Amanda Urban
Chynna Phillips,William Baldwin
Elvera Sanchez,"Sammy Davis, Sr."
Elinor Kershaw,Holmes Herbert
Ethelind Terry,Benedict Bogeaus
Elinor Kershaw,Thomas H. Ince
Edy Williams,Russ Meyer
Dorothy Anstett,Bill Russell
Chachi Arcola,Joanie Cunningham
Ethel Browning,Ashley Miller
Melissa Howard,Justin Beck
Harold Clurman,Stella Adler
Fred Karger,Jane Wyman
Elinor Fair,William Boyd
Edna Wallace Hopper,DeWolf Hopper
Dorothy Maharam,Arthur Harold Stone
Matt Adler,Laura San Giacomo
Deanna Dunn,Fredo Corleone
Francelia Billington,Lester Cuneo
Lindsey Way,Gerard Way
Carol Arthur,Dom DeLuise
Eleanor Gates,Richard Walton Tully
Diana Balmori Ling,César Pelli
Edna Wallace Hopper,Albert Oldfield Brown
Chris Harrison,Gwen Harrison
Diosa Costello,Pupi Campo
Courtney Gibbs,Tom Eplin
Gloria Hope,Lloyd Hughes
Clifford Durr,Virginia Foster Durr
Eugene Walter,Charlotte Walker
Etta Moten Barnett,Claude Albert Barnett
George Creel,Blanche Bates
Cyrus Adler,Racie Friedenwald Adler
Katie Wright,Hank Azaria
Catherine Calvert,Paul Armstrong
Genevieve Hamper,John Alexander
Fred Trump,Mary Anne MacLeod
Cathee Dahmen,Leonard Whiting
George K. Hollister,Alice Hollister
Jane Hajduk,Tim Allen
Trista Sutter,Ryan Sutter
Elaine Bass,Saul Bass
Eric Trump,Lara Trump
F. Mason Perkins,Lucy Olcott
Beau Bokan,Lights
Rebecca Budig,Bob Guiney
"Roger Clinton, Sr.",Virginia Clinton Kelley
John Gregory Betancourt,Kim Betancourt
Junius Spencer Morgan,Juliet Pierpont
Bruce Boston,Marge Simon
Virginia Clinton Kelley,Jeff Dwire
"William Jefferson Blythe, Jr.",Virginia Clinton Kelley
Constance Binney,Leonard Cheshire
Adam Gierasch,Jace Anderson
Virginia Clinton Kelley,"Roger Clinton, Sr."
Saul Baizerman,Eugenie Baizerman
Virginia Clinton Kelley,"William Jefferson Blythe, Jr."
Jennifer Griffin,Greg Myre
Bonnie Lee Bakley,Robert Blake
Myroslava Gongadze,Georgiy Gongadze
Nan Grey,Frankie Laine
Nan Grey,Jack Westrope
Thomas Lee,Hannah Harrison Ludwell
Jeff Dwire,Virginia Clinton Kelley
Penn Jillette,Emily Zolten Jillette
Superman,Wonder Woman
Jonas Wood,Shio Kusaka
Fred Alexander Barkley,Elizabeth Anne Barkley
Kristina Wagner,Jack Wagner
Tarek Alarian,Assala Nasri
Tarek Alarian,Inji Ali
Bonnie Lee Bakley,Glynn Wolfe
Victoria Grayson,Conrad Grayson
Josette Banzet,Tommy Roe
Leonid Berman,Sylvia Marlowe
William Bent,Owl Woman
Jordan Bratman,Christina Aguilera
Josette Banzet,Warren Cowan
Kent Williams,Robin Curtis
Brooke Mueller,Charlie Sheen
Dorothy Walker Bush,Prescott Bush
Q4082582,Viktoriya Belomlinskaya
Nikolai Vilyams,Lyudmila Alexeyeva
Richard Burgin,Ruth Posselt
Ilya Bolotowsky,Esphyr Slobodkina
Victoria Vradiy,Vladimir Bebeshko
Dan Green,Michal Lura Friedman
Lesley Wei-chung Ma,Allen Pei-Jan Tsai
Jennell Jaquays,Rebecca Heineman
Mike Gabbard,Carol Porter Gabbard
Sergey Degayev,Anna Johnson Pell Wheeler
"Frank Arthur Vanderlip, Sr.",Mabel Narcissa Cox
Varró Margit,Q87407776
Mark Pinter,Colleen Zenk Pinter
Dina Lohan,Michael Lohan
Stacey Bendet,Eric Eisner
Amelia Rose Blaire,Bryan Dechart
Justine Mattera,Paolo Limiti
Ira M. Lapidus,Brenda Webster
John Emerson,Anita Loos
Justine Johnstone,Walter Wanger
Joy Turner,Darnell Turner
Jason Manuel Olazabal,Sunita Param
Jackson Belleville,Sookie St. James
Justin Deas,Margaret Colin
Michele Hicks,Jonny Lee Miller
Karen Carlson,David Soul
Jack J. Clark,Gene Gauntier
William A. Brady,Grace George
"James ""Jim"" Orenthal",Cheryl
Joy Turner,Earl Hickey
"John Drew, Jr.",Josephine Baker
John McCabe,Rosina Lawrence
Jenny Lumet,Bobby Cannavale
Hugo Ballin,Mabel Ballin
Johnny Behan,Josephine Earp
Katherine Corri Harris,John Barrymore
Harry Benham,Ethyle Cooke
Jean Porter,Edward Dmytryk
Samuel Putnam Avery,Mary Ann Ogden
Jack Fisk,Sissy Spacek
Joanie Cunningham,Chachi Arcola
Henry C. De Mille,Beatrice DeMille
Jack Kenny,Michael Goodell
Harry Kendall Thaw,Evelyn Nesbit
Horace F. Clark-Steiniger,Anna Steiniger
James Earp,Bessie Earp
David Baker,Hannele Ruohola-Baker
Jordan Sullivan,Perry Cox
Jim Gabarra,Carin Jennings-Gabarra
John Drew,Louisa Lane Drew
Evelyn Peirce,Robert Allen
Jack Richardson,Anne Roiphe
Hawkman,Kendra Saunders
Hawkman,Shiera Sanders Hall
Heather French Henry,Steve Henry
Johanna von Trapp,Ernst Florian Winter
Shigeko Kubota,Nam June Paik
Rachel Korine,Harmony Korine
John Ross Bowie,Jamie Denbo
James Young Deer,Red Wing
Jerre Mangione,Donna Keath
Jo-Carroll Dennison,Phil Silvers
Kay Rush,Ismael Santos
Ilya Tolstoy,Q66057563
Shigeko Kubota,David Behrman
Jonathan Sheinberg,Susan Ursitti
Kristofer M. Helgen,Lauren Helgen
Ruth Baker Pratt,John Teele Pratt
Iris West,Barry Allen
Jeanne Wakatsuki Houston,James D. Houston
Ryan Sutter,Trista Sutter
Hector Hall,Hippolyta Hall
Sheila Allen,Irwin Allen
Milton Resnick,Pat Passlof
Monte Kay,Diahann Carroll
Thomas Tymoczko,Maria Tymoczko
Malvina Hoffman,Samuel Dean Grimson
Victoria Forde,Tom Mix
William Demby,Lucia Drudi Demby
Louis Dupree,Nancy Dupree
Mr. Pete,Alexis Texas
Tabitha Soren,Michael Lewis
Miriam Nesbitt,Marc McDermott
Stef Burns,Maddalena Corvaglia
Patrice Donnelly,Peter Shmock
Marguerite Caetani,Roffredo Caetani
Tawny Little,John Schneider
Mike Stoller,Corky Hale
Mitch Glazer,Wendie Malick
Betty Fussell,Paul Fussell
Elliott Roosevelt,Faye Emerson
Sue Dibny,Elongated Man
Millette Alexander,James Hammerstein
Samuel Goldwyn Jr.,Jennifer Howard
Marta Peterson,Phil Demmel
Wendy Divine,Eric Masterson
Robert Bogue,Mandy Bruno
Patrice Donnelly,Mark Lutz
Raymond Hitchcock,Flora Zabelle Hitchcock
Mento,Elasti-Girl
Gloria Loring,Alan Thicke
Tim Couch,Heather Kozar
Rhonda Roland Shearer,Stephen Jay Gould
Luther Reed,Naomi Childers
Ronnie Barrett,Donna Rowland
Stephen Edward Smith,Jean Kennedy Smith
Tara Buck,Chris Pierce
Nicole Johnson,Scott Baker
Salvator Xuereb,Cristi Conaway
Rebecca Curci-Hickenbottom,Shawn Michaels
William G. Dillon,Elizabeth R. Dillon
Mitch Glazer,Kelly Lynch
Lynda Lee Mead,"John J. Shea, Jr."
Marie Prescott,R. D. MacLean
Jeffrey Stone,Corinne Calvet
Sarah Marinda Bates Pratt,Orson Pratt
Suzanne Adams,Leo Stern
Jeffrey Stone,Barbara Lawrence
Susan Molinari,Bill Paxon
Richie Cunningham,Lori Beth Allen
Mildred Bright,Robert Frazer
Maud Durbin,Otis Skinner
Mary Kirchoff,Steve Winter
Mike Bennett,Maria Kanellis
Paris Carver,Elliot Carver
Nicole Tubiola,Kieren Hutchison
Seena Owen,George Walsh
William L. Langer,Susanne Langer
Veronica Alicino,Tim Hill
Sarah Essen,James Gordon
Michael Maguire,Marita Geraghty
Margaret Leech,Ralph Pulitzer
Beto O'Rourke,Amy O'Rourke
Marcos Siega,Marguerite MacIntyre
Jeffrey Stone,Christina Stone
Nancy Fleming,Jim Lange
Tara Dawn Holland,Jon Lynn Christensen
Fox,David Xanatos
Morton Downey,Barbara Bennett
Tony Mendez,Jonna Mendez
Servando Carrasco,Alex Morgan
Tommy Walker,Julia Walker
Martha Kent,Jonathan Kent
Tanya Haden,Jack Black
Phyllis George,John Y. Brown
Phyllis George,Robert Evans
Verna Harrah,William F. Harrah
Millard Webb,Mary Eaton
Paul Armstrong,Catherine Calvert
Tom Moore,Renée Adorée
Paul G. Hoffman,Anna M. Rosenberg
Merideth,Mark Wagoner
Su Yung,Rich Swann
Charles Russell,Nancy Guild
Tess Gallagher,Raymond Carver
Stephen Hibbert,Julia Sweeney
Marian McKnight,Gary Conway
Tom Moore,Alice Joyce
Ryan Michelle Bathe,Sterling K. Brown
Tom Murray,Louise Carver
Marianne Leone Cooper,Chris Cooper
Michael Gilden,Meredith Eaton
Pippa Scott,Lee Rich
Peter Lind Hayes,Mary Healy
Tina McGee,Speed Demon
Paula Brooks,Sportsmaster
Richard Lawson,Tina Knowles
Richard Lawson,Denise Gordy
Shanna Reed,Terrence O'Hara
Sondra Currie,Alan J. Levi
Tommy Mason,Cathy Rigby
Roger Nichols,Conrad Reeder
David Brisbin,Laura Innes
E. Gordon Gee,Constance Bumgarner Gee
Herbert Wright,Elaine Giftos
Thomas Perkins,Danielle Steel
Terry McAuliffe,Dorothy McAuliffe
Cornelia Otis Skinner,Alden S. Blodget
Thomas Savage,Elizabeth Savage
Leonore Annenberg,Walter Annenberg
Tom Harmon,Elyse Knox
Leland Palmer,Sarah Palmer
Bill Paxon,Susan Molinari
LaChanze,Derek Fordjour
Deanna Lund,Don Matheson
Dawnn Lewis,Johnny Newman
Ted Shawn,Ruth St. Denis
Liz Parker,Max Evans
David Rubenstein,Alice Rogoff
Columbo,Mrs. Columbo
David Behrman,Shigeko Kubota
Elastigirl,Mr. Incredible
Darren Le Gallo,Amy Adams
Terri Welles,Charlie Simmer
Bill Camp,Elizabeth Marvel
Bernadette Rostenkowski,Howard Wolowitz
Tony Sales,Anulka Dziubinska
Lauren Bowles,Patrick Fischler
Demacio Castellon,Nelly Furtado
Daniel C. Esty,Elizabeth Esty
Bobby Russell,Vicki Lawrence
Linnea Quigley,Steve Johnson
Eva Rausing,Hans Kristian Rausing
Hugh D. Auchincloss,Nina S. Gore
Craig Shoemaker,Nancy Allen
Red Forman,Kitty Forman
David Lander,Kathy Fields
Lillian West,Ed Brady
Hugh D. Auchincloss,Janet Lee Bouvier
Eli Lilly,Evelyn Bartlett
Billy Falcon,Myla Falcon
Lois Roden,Benjamin Roden
Alan W. Livingston,Nancy Olson
Tom Sutton,Jill Townsend
Terrell Fletcher,Sheree Zampino
Liberty Belle,Johnny Quick
Huwaida Arraf,Adam Shapiro
Brie Bella,Daniel Bryan
Bessie McCoy,Richard Harding Davis
Betty Draper,Don Draper
Alan W. Livingston,Betty Hutton
Irvin Willat,Billie Dove
Bernard DeVoto,Avis DeVoto
Mildred Gale,Lawrence Washington
Tim Whelan,Miriam Seegar
Thomas Lincoln,Sarah Bush Lincoln
Cyril Hume,Helen Chandler
Thomas Hager,Lauren Kessler
Thomas Lincoln,Nancy Hanks Lincoln
Howard Chaykin,Leslie Zahler
Millicent Hearst,William Randolph Hearst
Shauna Sand,Lorenzo Lamas
Herbert Walter Levi,Lorna Rose Levi
Theodore Hsueh-Huang Pian,Rulan Chao Pian
Theodore Earl Butler,Marthe Hoschedé
Leanza Cornett,Mark Steines
John O'Hurley,Eva LaRue
Dean Riesner,Maila Nurmi
Del Tenney,Margot Hartman
Stanley Karnow,Claude Sarraute
Susan Macdowell Eakins,Thomas Eakins
Sutton Foster,Ted Griffin
Theodore Earl Butler,Suzanne Hoschedé
Warren H. Wagner,Florence Signaigo Wagner
Ted Griffin,Sutton Foster
Brian Hallisay,Jennifer Love Hewitt
Bessie Barriscale,Howard Hickman
Daniel Carson Goodman,Alma Rubens
David Kellogg,Denise Michele
Darin Strauss,Susannah Meadows
Tom Keene,Grace Stafford
Brian Koppelman,Amy Koppelman
Terry Shane,Guy Montagné
Thomas Jefferson,Daisy Jefferson
Crane Wilbur,Lenita Lane
David Swift,Maggie McNamara
Daimon Hellstrom,Patsy Walker
Dee Dee Wood,Marc Breaux
DeWolf Hopper,Hedda Hopper
Sutton Foster,Christian Borle
Hoyt Richards,Amy Lindsay
Tom Bundy,May Sutton
Minnie Maddern Fiske,Harrison Grey Fiske
Deborah Kaplan,Breckin Meyer
Harvey Samuel Firestone,Idabelle Smith Firestone
Conrad Palmisano,Irene Cara
Curt Bennett,Susan Bennett
David Wasco,Sandy Reynolds-Wasco
Leonore Annenberg,Beldon Katleman
Supergirl,Superman (Earth-One)
Cristina,Michael Zilkha
Delia Akeley,Carl Akeley
Deborah Richter,Charles Haid
Nicholas Marcellus Hentz,Caroline Lee Hentz
Mike Genovese,Ellen Crawford
Tom Ruegger,Adrienne Alexander
Joan Banks,Frank Lovejoy
Batman (Earth-Two),Catwoman
Lorelei King,Vincent Marzello
Lance Sweets,Daisy Wick
"David Poe, Jr.",Eliza Poe
Crane Wilbur,Suzanne Caubet
Cristi Conaway,Salvator Xuereb
Jim Jordan,Marian Driscoll Jordan
Morris O'Brian,Chloe O'Brian
Virginia E. Johnson,William H. Masters
DeWolf Hopper,Edna Wallace Hopper
Dana Gould,Sue Naegle
Tommy Pistol,Gia Paloma
Beatrice DeMille,Henry C. De Mille
Thomas Hovenden,Helen Corson Hovenden
Mitzi McCall,Charlie Brill
Thomas Jefferson,Eugenie Paul Jefferson
Inga Arvad,Paul Fejos
Tessie Santiago,Carlos Bernard
Tawny Moyer,Patrick St. Esprit
Lewis M. Allen,Jay Presson Allen
Laurene Powell Jobs,Steve Jobs
Irving Asher,Laura La Plante
Hubert Lyman Clark,Frances Lee Snell Clark
Inga Arvad,Tim McCoy
Lucas Bryant,Kirsty Hinchcliffe
Terrence O'Hara,Shanna Reed
Tim Considine,Charlotte Stewart
Irving Morrow,Gertrude Comfort Morrow
Debra Berger,"Alessandro Ruspoli, 9th Prince of Cerveteri"
David Swanzey,Carrie Ingalls
Jodi Ann Paterson,Michael Andretti
Dave O'Brien,Dorothy Short
Tony Mordente,Chita Rivera
Andrew Puzder,Deanna Descher
Alvin Childress,Alice Childress
Allen Paulson,Madeleine A. Pickens
Amanda Hillwood,Matt Frewer
Alvin Lustig,Elaine Lustig Cohen
Allen Grossman,Judith Grossman
Allaire du Pont,Richard Chichester du Pont
Alina Simone,Joshua Knobe
Ana Menéndez,Dexter Filkins
Amy Jo Kim,Scott Kim
Amasa Lyman,Eliza Maria Partridge Lyman
Morris Chang,Sophie Chang
Alyce Cleese,John Cleese
Ameena Begum,Inayat Khan
Amy A. Kass,Leon Kass
Amy Kravitz,Steven Subotnick
Andrea Wyatt,Toby Ziegler
Alyssa Miller,Cam Avery
Amy Kincaid,Liam O'Brien
Alida Rockefeller Messinger,Mark Dayton
Alton Brown,Deanna Brown
Aliza Gur,Sheldon Schrager
Amy Leslie,Frank Buck
Amy Schumer,Chris Fischer
Andrew Puzder,Lisa Fierstein
Allyn Ann McLerie,Adolph Green
Alison Stewart,Bill Wolff
Alonso Duralde,Dave White
Andy Dawkins,Ellen Anderson
Alison Bartlett-O'Reilly,Harry O'Reilly
Alma Bennett Morgan,Ephraim F. Morgan
Andrew Honeycutt,Deborah Honeycutt
Amber Nash,Kevin Gillese
Alonzo Herndon,Adrienne McNeil Herndon
Amos Pinchot,Ruth Pickering Pinchot
Andrew Love,Emily Neves
Andrea Davis Pinkney,Brian Pinkney
Andrew Hudgins,Erin McGraw
Andre Jacquemetton,Maria Jacquemetton
Alpana Singh,Charles Blackstone
Alyce Cleese,Dave Eichelberger
Amy Powers,J. Todd Harris
Allyn Ann McLerie,George Gaynes
Amy Keating Rogers,Chip Rogers
Andrew Cockburn,Leslie Cockburn
Alice du Pont Mills,James P. Mills
"Alpheus Spring Packard, Sr.",Frances Appleton
Andrea Rosen,John Gemberling
