person,child
Maria Carolina of Austria,Prince Gennaro of Naples and Sicily
Yehudi Menuhin,Gerard Menuhin
Ed Asner,Kate Asner
Lucius Fox,Tamara Fox
Dorothy McGuire,Topo Swope
Maria Carolina of Austria,Maria Cristina of Naples and Sicily
Maria Carolina of Austria,Prince Giuseppe of Naples and Sicily
Yehudi Menuhin,Jeremy Menuhin
Maria Carolina of Austria,Maria Amalia of Naples and Sicily
Maria Carolina of Austria,Maria Isabelle of Naples and Sicily
Pat Nixon,Tricia Nixon Cox
Maria Carolina of Austria,"Carlo, Duke of Calabria"
Jack Steinberger,Ned Steinberger
Leonard Bernstein,Alexander Bernstein
Meat Loaf,Amanda Aday
Maria Carolina of Austria,Prince Alberto of Naples and Sicily
Alma Mahler,Manon Gropius
Meat Loaf,Pearl Aday
Maria Carolina of Austria,Maria Henrietta of Naples and Sicily
Liberty Hyde Bailey,Ethel Zoe Bailey
Maria Carolina of Austria,Maria Theresa of Naples and Sicily
Maria Carolina of Austria,Francis I of the Two Sicilies
Michelle Pfeiffer,John Kelley
Mike Huckabee,David Huckabee
Jack Steinberger,Julia K. Steinberger
Alma Mahler,Anna Mahler
Maria Carolina of Austria,"Leopold, Prince of Salerno"
Maria Carolina of Austria,Maria Anna of Naples and Sicily
Maria Carolina of Austria,Princess Maria Cristina Amelia of Naples and Sicily
Lyonel Feininger,T. Lux Feininger
Dolores Costello,John Drew Barrymore
Michelle Pfeiffer,Claudia Kelley
Maria Carolina of Austria,Princess Luisa of Naples and Sicily
Maria Carolina of Austria,Maria Clotilde of Naples and Sicily
Lyonel Feininger,Andreas Feininger
P!nk,Willow Hart
Roy Lichtenstein,David Lichtenstein
Mike Huckabee,Sarah Sanders
Leonard Bernstein,Jamie Bernstein
P!nk,Jameson Hart
Roy Lichtenstein,Mitchell Lichtenstein
Catwoman,Helena Wayne
Lynn Redgrave,Kelly Anne Clark
Lynn Redgrave,Annabel Lucy Clark
Lynn Redgrave,Benjamin B. Clark
Yehudi Menuhin,Krov Nicholas Menuhin
Yehudi Menuhin,Zamira Menuhin
Maria Carolina of Austria,"Carlo di Borbone, Principe delle Due Sicilie"
Maria Carolina of Austria,"Giuseppe di Borbone, Principe delle Due Sicilie"
Maria Carolina of Austria,"Maria Clotilda di Borbone, Principessa delle Due Sicilie"
Maria Carolina of Austria,unnamed child di Borbone
Laura Bush,Barbara Pierce Bush
André Previn,Soon-Yi Previn
Chris Buck,Woody Buck
Lyonel Feininger,Lore Feininger
Laura Bush,Jenna Bush Hager
Lyonel Feininger,Laurence Feininger
Henry Wadsworth Longfellow,Ernest Wadsworth Longfellow
W.E.B. Du Bois,Yolande Du Bois
Rudolf Sieber,Maria Riva
Fanny Brice,William Brice
Chris Buck,Reed Buck
Henry Wadsworth Longfellow,Alice Mary Longfellow
Idina Menzel,Walker Diggs
André Previn,Fletcher Previn
André Previn,Matthew Previn
André Previn,Sascha Previn
Arnold Schoenberg,Ronny Schönberg
Michael Kamen,Sasha Kamen
Michael Kamen,Zoe Kamen
Michelle Williams,Matilda Ledger
Josephine Baker,Jean-Claude Baker
Scott Brown,Ayla Brown
Arnold Schoenberg,Gertrud Schönberg
Michael Giacchino,Hayden Giacchino
